const-field-offset-macro	0.2.1	git+https://github.com/slint-ui/slint.git?rev=3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f#3c5e0a606d8843fabaf00c5fbbde4fd5be08ba4f	MIT OR Apache-2.0	https://github.com/slint-ui/slint
convert_case	0.10.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/rutrum/convert-case
core-foundation	0.10.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation	0.9.4	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation-sys	0.8.7	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics	0.23.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics-types	0.1.3	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core_maths	0.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/robertbastian/core_maths
countme	3.0.1	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/matklad/countme
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast
critical-section	1.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-embedded/critical-section
crossbeam-channel	0.5.16	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-deque	0.8.7	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-epoch	0.9.20	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crossbeam-utils	0.8.22	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crunchy	0.2.4	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/eira-fransham/crunchy
csv	1.4.0	registry+https://github.com/rust-lang/crates.io-index	Unlicense/MIT	https://github.com/BurntSushi/rust-csv
csv-core	0.1.13	registry+https://github.com/rust-lang/crates.io-index	Unlicense/MIT	https://github.com/BurntSushi/rust-csv
cursor-icon	1.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0 OR Zlib	https://github.com/rust-windowing/cursor-icon
damascene-fonts-inter	0.1.0	registry+https://github.com/rust-lang/crates.io-index	(MIT OR Apache-2.0) AND OFL-1.1	https://github.com/computer-whisperer/damascene
data-url	0.3.2	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/rust-url
derive_more	2.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/JelteF/derive_more
derive_more-impl	2.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/JelteF/derive_more
derive_utils	0.15.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/taiki-e/derive_utils
dispatch	0.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT	http://github.com/SSheldon/rust-dispatch
dispatch2	0.3.1	registry+https://github.com/rust-lang/crates.io-index	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
displaydoc	0.2.6	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/yaahc/displaydoc
dlib	0.5.3	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/elinorbgr/dlib
dpi	0.1.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 AND MIT	https://github.com/rust-windowing/winit
drm	0.14.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Smithay/drm-rs
drm-ffi	0.9.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Smithay/drm-rs
drm-fourcc	2.2.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/danielzfranklin/drm-fourcc-rs
drm-sys	0.8.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/Smithay/drm-rs
either	1.16.0	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rayon-rs/either
endi	1.1.1	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/zeenix/endi
enumflags2	0.7.12	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2
enumflags2_derive	0.7.12	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2
equator	0.4.2	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/sarah-ek/equator/
equator-macro	0.4.2	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/sarah-ek/equator/
equivalent	1.0.2	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent
errno	0.3.14	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/lambda-fairy/rust-errno
error-code	3.3.2	registry+https://github.com/rust-lang/crates.io-index	BSL-1.0	https://github.com/DoumanAsh/error-code
euclid	0.22.14	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/servo/euclid
event-listener	5.4.1	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener
event-listener-strategy	0.5.4	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener-strategy
exr	1.74.2	registry+https://github.com/rust-lang/crates.io-index	BSD-3-Clause	https://github.com/johannesvollmer/exrs
fastrand	2.5.0	registry+https://github.com/rust-lang/crates.io-index	Apache-2.0 OR MIT	https://github.com/smol-rs/fastrand
fax	0.2.7	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/pdf-rs/fax
fdeflate	0.3.7	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/image-rs/fdeflate
field-offset	0.3.6	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/Diggsey/rust-field-offset
filetime	0.2.29	registry+https://github.com/rust-lang/crates.io-index	MIT/Apache-2.0	https://github.com/alexcrichton/filetime
find-msvc-tools	0.1.9	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
fixed_decimal	0.7.2	registry+https://github.com/rust-lang/crates.io-index	Unicode-3.0	https://github.com/unicode-org/icu4x
flate2	1.1.9	registry+https://github.com/rust-lang/crates.io-index	MIT OR Apache-2.0	https://github.com/rust-lang/flate2-rs
float-cmp	0.9.0	registry+https://github.com/rust-lang/crates.io-index	MIT	https://github.com/mikedilger/float-cmp
